algo_key,success_sum,success_count,time_mean,time_std,time_min,time_max,nodes_expanded_mean,nodes_expanded_std,solution_length_mean,success_rate
astar_h1,7,8,0.0009,0.001,0.0,0.003,36.375,24.0413,7.875,87.5
astar_h2,7,8,0.0009,0.0014,0.0,0.004,36.375,24.0413,7.875,87.5
astar_h3,7,8,0.0011,0.0015,0.0,0.004,35.625,23.409,7.875,87.5
astar_h4,7,8,0.0008,0.0009,0.0,0.002,35.5,23.5311,7.875,87.5
astar_h5,7,8,0.001,0.0008,0.0,0.002,35.625,23.409,7.875,87.5
astar_h6,7,8,0.0016,0.0014,0.0,0.004,35.5,23.5311,7.875,87.5
bfs,7,8,0.0005,0.0008,0.0,0.002,36.375,24.0413,7.875,87.5
bidirectional,7,8,0.0006,0.0009,0.0,0.002,28.625,19.4638,7.875,87.5
idastar_h1,7,8,5.6955,14.3493,0.002,41.0751,246819.875,647115.7925,7.875,87.5
idastar_h2,7,8,9.2359,22.9082,0.002,65.6455,375209.875,983512.7186,7.875,87.5
idastar_h3,7,8,3.4511,8.596,0.001,24.6298,167880.125,441639.2562,7.875,87.5
idastar_h4,7,8,0.1499,0.2574,0.0,0.599,5221.625,9526.6124,7.875,87.5
idastar_h5,7,8,2.5796,6.5376,0.0,18.7077,70601.375,177086.53,7.875,87.5
idastar_h6,7,8,0.9526,2.395,0.001,6.8605,28395.5,71012.1711,7.875,87.5
ucs,7,8,0.0008,0.0009,0.0,0.002,36.375,24.0413,7.875,87.5
