n,b,s,algorithm,heuristic,success,timeout,time,nodes_expanded,solution_length,path_cost,max_queue_size
3,2,0,bfs,N/A,True,False,0.0,15,11,11,3
3,2,0,ucs,N/A,True,False,0.0,15,11,18,3
3,2,0,astar,h1,True,False,0.0,15,11,18,3
3,2,0,astar,h2,True,False,0.0,15,11,18,3
3,2,0,astar,h3,True,False,0.0,15,11,18,3
3,2,0,astar,h4,True,False,0.0,15,11,18,3
3,2,0,astar,h5,True,False,0.0010008811950683594,15,11,18,3
3,2,0,astar,h6,True,False,0.0,15,11,18,3
3,2,0,idastar,h1,True,False,0.0019991397857666016,164,11,11,0
3,2,0,idastar,h2,True,False,0.0030019283294677734,174,11,11,0
3,2,0,idastar,h3,True,False,0.0019998550415039062,138,11,11,0
3,2,0,idastar,h4,True,False,0.001001119613647461,59,11,11,0
3,2,0,idastar,h5,True,False,0.0,105,11,11,0
3,2,0,idastar,h6,True,False,0.0010004043579101562,105,11,11,0
3,2,0,bidirectional,N/A,True,False,0.0,13,11,11,6
3,2,1,bfs,N/A,True,False,0.0010006427764892578,47,11,11,7
3,2,1,ucs,N/A,True,False,0.0,47,11,17,13
3,2,1,astar,h1,True,False,0.0009989738464355469,47,11,17,13
3,2,1,astar,h2,True,False,0.0009999275207519531,47,11,17,14
3,2,1,astar,h3,True,False,0.0,47,11,17,13
3,2,1,astar,h4,True,False,0.0009987354278564453,47,11,17,35
3,2,1,astar,h5,True,False,0.0009999275207519531,47,11,17,23
3,2,1,astar,h6,True,False,0.002001047134399414,47,11,17,14
3,2,1,idastar,h1,True,False,0.7580549716949463,41851,11,11,0
3,2,1,idastar,h2,True,False,1.3971068859100342,54811,11,11,0
3,2,1,idastar,h3,True,False,0.5290372371673584,28918,11,11,0
3,2,1,idastar,h4,True,False,0.025000572204589844,1145,11,11,0
3,2,1,idastar,h5,True,False,0.3360264301300049,18102,11,11,0
3,2,1,idastar,h6,True,False,0.1500108242034912,8841,11,11,0
3,2,1,bidirectional,N/A,True,False,0.0,41,11,11,14
3,3,0,bfs,N/A,True,False,0.0,16,5,5,5
3,3,0,ucs,N/A,True,False,0.0,16,5,10,7
3,3,0,astar,h1,True,False,0.0,16,5,10,7
3,3,0,astar,h2,True,False,0.0,16,5,10,7
3,3,0,astar,h3,True,False,0.0,16,5,10,7
3,3,0,astar,h4,True,False,0.0,15,5,10,8
3,3,0,astar,h5,True,False,0.0,16,5,10,7
3,3,0,astar,h6,True,False,0.0009999275207519531,15,5,10,8
3,3,0,idastar,h1,True,False,0.001999378204345703,124,5,5,0
3,3,0,idastar,h2,True,False,0.0030050277709960938,145,5,5,0
3,3,0,idastar,h3,True,False,0.0009965896606445312,99,5,5,0
3,3,0,idastar,h4,True,False,0.001999378204345703,72,5,5,0
3,3,0,idastar,h5,True,False,0.00099945068359375,98,5,5,0
3,3,0,idastar,h6,True,False,0.0010004043579101562,63,5,5,0
3,3,0,bidirectional,N/A,True,False,0.0,11,5,5,10
3,3,1,bfs,N/A,True,False,0.0,43,5,5,12
3,3,1,ucs,N/A,True,False,0.001001119613647461,43,5,11,46
3,3,1,astar,h1,True,False,0.0009982585906982422,43,5,11,46
3,3,1,astar,h2,True,False,0.0010001659393310547,43,5,11,46
3,3,1,astar,h3,True,False,0.002000570297241211,40,5,11,46
3,3,1,astar,h4,True,False,0.0010006427764892578,40,5,11,54
3,3,1,astar,h5,True,False,0.0009992122650146484,40,5,11,46
3,3,1,astar,h6,True,False,0.0030002593994140625,40,5,11,57
3,3,1,idastar,h1,True,False,0.09200668334960938,3527,5,5,0
3,3,1,idastar,h2,True,False,0.14201068878173828,5338,5,5,0
3,3,1,idastar,h3,True,False,0.06300616264343262,2268,5,5,0
3,3,1,idastar,h4,True,False,0.02800273895263672,1123,5,5,0
3,3,1,idastar,h5,True,False,0.057004451751708984,2070,5,5,0
3,3,1,idastar,h6,True,False,0.027001380920410156,1030,5,5,0
3,3,1,bidirectional,N/A,True,False,0.001001119613647461,27,5,5,24
4,2,0,bfs,N/A,False,False,0.0,11,0,0,3
4,2,0,ucs,N/A,False,False,0.0,11,0,0,3
4,2,0,astar,h1,False,False,0.0,11,0,0,3
4,2,0,astar,h2,False,False,0.0,11,0,0,3
4,2,0,astar,h3,False,False,0.0,11,0,0,3
4,2,0,astar,h4,False,False,0.0,11,0,0,3
4,2,0,astar,h5,False,False,0.0,11,0,0,3
4,2,0,astar,h6,False,False,0.0,11,0,0,3
4,2,0,idastar,h1,False,False,0.0019998550415039062,89,0,0,0
4,2,0,idastar,h2,False,False,0.0019981861114501953,111,0,0,0
4,2,0,idastar,h3,False,False,0.0010004043579101562,85,0,0,0
4,2,0,idastar,h4,False,False,0.0,68,0,0,0
4,2,0,idastar,h5,False,False,0.0,68,0,0,0
4,2,0,idastar,h6,False,False,0.002002716064453125,97,0,0,0
4,2,0,bidirectional,N/A,False,False,0.0,12,0,0,6
4,2,1,bfs,N/A,True,False,0.0009996891021728516,71,15,15,7
4,2,1,ucs,N/A,True,False,0.0019991397857666016,71,15,23,15
4,2,1,astar,h1,True,False,0.0009996891021728516,71,15,23,15
4,2,1,astar,h2,True,False,0.0010004043579101562,71,15,23,16
4,2,1,astar,h3,True,False,0.002001523971557617,71,15,23,15
4,2,1,astar,h4,True,False,0.002001047134399414,71,15,23,41
4,2,1,astar,h5,True,False,0.0019989013671875,71,15,23,38
4,2,1,astar,h6,True,False,0.002000570297241211,71,15,23,15
4,2,1,idastar,h1,True,False,41.07506608963013,1846698,15,15,0
4,2,1,idastar,h2,True,False,65.64546394348145,2806494,15,15,0
4,2,1,idastar,h3,True,False,24.629839420318604,1259901,15,15,0
4,2,1,idastar,h4,True,False,0.5990445613861084,26394,15,15,0
4,2,1,idastar,h5,True,False,18.707655429840088,507704,15,15,0
4,2,1,idastar,h6,True,False,6.860511779785156,203723,15,15,0
4,2,1,bidirectional,N/A,True,False,0.001998424530029297,65,15,15,14
4,3,0,bfs,N/A,True,False,0.0,21,9,9,4
4,3,0,ucs,N/A,True,False,0.0010006427764892578,21,9,18,5
4,3,0,astar,h1,True,False,0.0010006427764892578,21,9,18,5
4,3,0,astar,h2,True,False,0.0,21,9,18,5
4,3,0,astar,h3,True,False,0.00099945068359375,21,9,18,5
4,3,0,astar,h4,True,False,0.0,21,9,18,6
4,3,0,astar,h5,True,False,0.0009999275207519531,21,9,18,5
4,3,0,astar,h6,True,False,0.0010018348693847656,21,9,18,6
4,3,0,idastar,h1,True,False,0.014998674392700195,778,9,9,0
4,3,0,idastar,h2,True,False,0.015002012252807617,821,9,9,0
4,3,0,idastar,h3,True,False,0.015002250671386719,700,9,9,0
4,3,0,idastar,h4,True,False,0.011998653411865234,505,9,9,0
4,3,0,idastar,h5,True,False,0.012000799179077148,634,9,9,0
4,3,0,idastar,h6,True,False,0.011001110076904297,379,9,9,0
4,3,0,bidirectional,N/A,True,False,0.0,17,9,9,8
4,3,1,bfs,N/A,True,False,0.0019989013671875,67,7,7,13
4,3,1,ucs,N/A,True,False,0.0019998550415039062,67,7,15,58
4,3,1,astar,h1,True,False,0.0030012130737304688,67,7,15,58
4,3,1,astar,h2,True,False,0.004002809524536133,67,7,15,53
4,3,1,astar,h3,True,False,0.003997325897216797,64,7,15,58
4,3,1,astar,h4,True,False,0.0020017623901367188,64,7,15,63
4,3,1,astar,h5,True,False,0.0019996166229248047,64,7,15,61
4,3,1,astar,h6,True,False,0.00400543212890625,64,7,15,75
4,3,1,idastar,h1,True,False,3.618267059326172,81328,7,7,0
4,3,1,idastar,h2,True,False,6.679498910903931,133785,7,7,0
4,3,1,idastar,h3,True,False,2.3681764602661133,50932,7,7,0
4,3,1,idastar,h4,True,False,0.5320899486541748,12407,7,7,0
4,3,1,idastar,h5,True,False,1.5231120586395264,36030,7,7,0
4,3,1,idastar,h6,True,False,0.5680415630340576,12926,7,7,0
4,3,1,bidirectional,N/A,True,False,0.002002716064453125,43,7,7,26
